Regiones,Casos
HERRERA,7069
METROPOLITANA,78049
PANAMA NORTE,22771
PANAMA OESTE,61184
SAN MIGUELITO,33381
COLON,15761
PANAMA ESTE,11670
VERAGUAS,18131
COCLE,15598
CHIRIQUI,33812
GUNA YALA,1365
LOS SANTOS,3416
DARIEN,5705
NGOBE BUGLE,3057
BOCAS DEL TORO,5541
